ระดับคณะ	ประกาศนียบัตร	ปริญญาตรี	ประกาศนีบัตรบัณฑิต	บัณฑิตวิทยาลัย
ชาย	หญิง	รวม	ปริญญาตรี	ชาย	หญิง	รวม	ปริญญาโท	ประกาศนียบัตรบัณฑิตชั้นสูง	ปริญญาเอก	รวม
ภาคปกติ	ภาคพิเศษ/สมทบ	นานาชาติ	ภาคปกติ	ภาคพิเศษ/สมทบ	นานาชาติ
ชาย	หญิง	รวม	ชาย	หญิง	รวม	ชาย	หญิง	รวม	ชาย	หญิง	รวม	ชาย	หญิง	รวม	ชาย	หญิง	รวม	ชาย	หญิง	รวม	ชาย	หญิง	รวม
มนุษยศาสตร์				559	1,586	2,145	20	48	68	42	83	125				36	32	68	59	149	208							12	5	17	2,631
ศึกษาศาสตร์				488	971	1,459										22	32	54	104	311	415							54	74	128	2,056
วิจิตรศิลป์				491	736	1,227										28	18	46	5	1	6							8	5	13	1,292
สังคมศาสตร์				190	409	599				65	81	146				39	52	91	37	37	74	13	15	28				23	34	57	995
วิทยาศาสตร์				872	1,227	2,099										155	192	347	40	33	73	17	10	27				152	195	347	2,893
วิศวกรรมศาสตร์				2,059	814	2,873	480	129	609	54	16	70				244	142	386	96	48	144	22	7	29				103	52	155	4,266
แพทยศาสตร์				744	729	1,473										41	89	130							104	130	234	58	116	174	2,011
เกษตรศาสตร์				532	943	1,475										61	136	197	43	62	105	2	2	4				41	51	92	1,873
ทันตแพทยศาสตร์				198	327	525										35	61	96							11	27	38	1	4	5	664
เภสัชศาสตร์				258	578	836										14	63	77										12	31	43	956
เทคนิคการแพทย์				324	915	1,239										25	61	86										9	20	29	1,354
พยาบาลศาสตร์	17	89	106	64	647	711	138	1,549	1,687	17	113	130				22	190	212	3	38	41	3	40	43				8	82	90	3,020
อุตสาหกรรมเกษตร				284	974	1,258										14	47	61				2	1	3				11	27	38	1,360
สัตวแพทยศาสตร์				112	245	357										23	28	51				6	12	18				14	19	33	459
บริหารธุรกิจ				312	911	1,223	247	570	817										215	438	653							4	7	11	2,704
เศรษฐศาสตร์				446	839	1,285	12	9	21	98	148	246				22	28	50	36	107	143	28	95	123				11	13	24	1,892
สถาปัตยกรรมศาสตร์				177	271	448				1	4	5				21	17	38				1	3	4							495
การสื่อสารมวลชน				319	635	954													17	18	35										989
รัฐศาสตร์และรัฐประศาสนศาสตร์				398	617	1,015										36	36	72	15	8	23										1,110
นิติศาสตร์				164	187	351	223	345	568										20	35	55										974
ศิลปะ สื่อ และเทคโนโลยี				425	356	781	1		1	138	59	197				9	13	22	19	37	56							7	12	19	1,076
บัณฑิตวิทยาลัย																20	37	57	45	53	98							9	18	27	182
วิทยาลัยนานาชาติ				1	1	2																									2
สาธารณสุขศาสตร์																			16	77	93	2	2	4							97
การศึกษาและการจัดการทางทะเล																															
นานาชาตินวัตกรรมดิจิทัล																															
รวม	17	89	106	9,417	14,918	24,335	1,121	2,650	3,771	415	504	919	0	0	0	867	1,274	2,141	770	1,452	2,222	96	187	283	115	157	272	537	765	1,302	35,351
รวมทั้งสิ้นชาย  13,355  คน     หญิง  21,996  คน     รวม ชาย หญิง  35,351  คน
